"Código Negociação ","Nome do Fundo","Administrador","Gestor","Data IPO","Liquidez Média Diária Mês Atual","P/VPA","Qtde de Cotistas","Renda Por M2 (Última)","Valor IPO","Valor Último Rendimento","Yield de Distribuição 1 Mês","Yield de Distribuição 12 Meses","Categoria","Valor M² de Mercado","Valor M² Patrimonial","Variação da Cota + Distribuição desde IPO","CNPJ","Aluguel Dat. Ref. Últ. Dado","Aluguel Qtd Contratos do Dia","Aluguel Qtd de Cotas do Dia","Aluguel Taxa Doador","Aluguel Taxa Tomador","Aluguel Volume do Dia","Área Bruta Locável","Caixa Disponibilidades","Caixa em Relação ao Valor de Mercado","Caixa em Relação ao VP","Caixa Extra (LCI)","Caixa por Cota","Caixa Renda Fixa","Caixa Títulos Públicos","Caixa Total","CNPJ Administrador","Cotação","Cotação Abertura","Cotação Fechamento","Cotação Máxima do Dia","Cotação Mínima do Dia","Data Base Último Provento","Data do Último Registro de Cotação","Data Pagamento Último Provento","IFIX - Participação Percentual","IFIX - Participação Qte Cotas","Liquidez Média Diária Mês Passado","Liquidez Média Diária Últimos 20 dias de Negociação","Liquidez Mês Atual","Liquidez Mês Passado","Liquidez Último Dia","Liquidez Últimos 20 dias de Negociação","Liquidez Últimos 5 Dias de Negociação","Passivo (Adiantamento de Alugueis)","Passivo (Adiantamento de Venda de Imóvel)","Passivo (Instrumentos Financeiros Derivativos)","Passivo (Obrigações de Recebíveis)","Passivo (Obrigações por Aquisição Imóvel)","Passivo (Outros Valores)","Passivo (Percentual em Relação a Cotação Atual)","Passivo (Previsões Contigencias)","Passivo (Rendimentos a Distribuir)","Passivo (Sobre Ativo)","Passivo (Taxa de Adm a Pagar)","Passivo (Taxa Performance a Pagar)","Passivo (Total por Cota)","Passivo (Total)","Qtde de Processos Judiciais","Quantidade de Cotas Emitidas","Site Oficial","Último Comunicado Oficial","Último Comunicado Oficial (Data)","Último Fato Relevante","Último Fato Relevante (Data)","Último Informe Mensal","Último Informe Mensal (Data)","Último Informe Trimestral Estruturado","Último Informe Trimestral Estruturado (Data)","Último Relatório Gerencial","Último Relatório Gerencial (Data)","Upside Para Chegar ao Valor Patrimonial","Vacância Financeira","Vacância Financeira (Data Último Dado)","Vacância Física","Vacância Física (Data Último Dado)","Valor de Mercado","Valor Patrimonial","Valor Patrimonial Por Cota","Valor Penúltimo Rendimento","Variação da Cota 12 Meses","Variação da Cota 3 Meses","Variação da Cota 30 dias","Variação da Cota 6 Meses","Variação da Cota Desde IPO","Variação da Cota no Ano","Variação da Cota no Mês","Variação Rendimento em Rel. Penúltimo","Vencimento dos Contratos Acima de 36 Meses","Vencimento dos Contratos em Até 12 a 15 Meses","Vencimento dos Contratos em Até 15 a 18 Meses","Vencimento dos Contratos em Até 18 a 21 Meses","Vencimento dos Contratos em Até 21 a 24 Meses","Vencimento dos Contratos em Até 24 a 27 Meses","Vencimento dos Contratos em Até 3 a 6 Meses","Vencimento dos Contratos em Até 3 Meses","Vencimento dos Contratos em Até 30 a 33 Meses","Vencimento dos Contratos em Até 33 a 36 Meses","Vencimento dos Contratos em Até 6 a 9 Meses","Vencimento dos Contratos em Até 9 a 12 Meses","Volume Negociado Dia","Yield 12 Meses Bas. no Últ. Rend.","Yield de Distribuição 3 Meses","Yield de Distribuição 6 Meses","Yield de Distribuição Desde IPO"
"ABCP11","Grand Plaza Shopping","RIO BRAVO","RIO BRAVO","12/03/2004","R$47.358,49","0,80","19.186","R$87,79","R$18,50","R$0,50","0,68%","7,61%","Shopping/Varejo","R$12.898,63","R$16.117,25","653,58%","01.201.140/0001-90","N/D","0,00","N/D","0,00%","0,00%","R$ 0,00","69.503,00m²","R$ 9.687,01","1,95%","1,56%","R$ 0,00","R$ 1,43","R$ 17.433.976,14","R$ 0,00","R$ 17.443.663,15","72.600.026.000.181","73,46+1,73%05/04/2022 10:44:00","R$72,20","R$72,21","R$73,49","R$72,20","31/03/2022","15/02/2022 13:01:56","07/04/2022","0,00%","","R$72.625,29","R$57.855,55","R$142.075,46","R$1.597.756,37","R$440,00","R$1.157.110,96","R$262,00","R$ 10.004,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.158.788,17","0,83%","R$ 20.017,56","R$ 6.189.453,78","0,66%","R$ 86.574,19","R$ 0,00","R$ 0,61","R$ 7.464.837,70","","12.203.832","https://riobravo.com.br/fundo/fii-grand-plaza-shopping","Link","31/03/2022 20:36:00","Link","28/04/2021 23:46:00","Link","14/03/2022 10:51:00","Link","11/02/2022 09:06:00","Link","24/03/2022 09:36:00","24,95%","N/D","N/D","7,60%","31/01/2022","R$896.493.498,72","R$1.120.197.062,39","R$91,79","R$ 0,45","-5,58%","6,73%","-0,77%","8,83%","297,08%","4,96%","0,81%","11,11%","28,07%","5,03%","8,48%","4,16%","0,56%","2,79%","2,87%","4,22%","3,74%","4,78%","6,71%","14,56%","R$ 5.452,16","8,48%","2,34%","4,52%","89,78%"
"AFHI11","AF Invest CRI","BTG PACTUAL","AF Invest","05/04/2021","R$598.421,26","1,05","7.700","","R$100,00","R$1,30","1,29%","11,19%","Recebíveis Imobiliários","N/D","N/D","12,29%","36.642.293/0001-58","N/D","N/D","N/D","N/D","N/D","N/D","0,00m²","R$ 0,00","4,19%","4,38%","R$ 0,00","R$ 4,23","R$ 7.558.583,28","R$ 0,00","R$ 7.558.583,28","59.281.253.000.123","100,990%05/04/2022 10:47:00","R$100,99","R$100,99","R$101,23","R$100,90","15/03/2022","15/02/2022 13:01:57","22/03/2022","0,17%","1.787.671","R$719.194,01","R$668.104,46","R$1.795.263,77","R$15.822.268,25","R$245.398,36","R$13.362.089,27","R$477.336,16","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 90.182,60","1,49%","R$ 0,00","R$ 2.398.407,85","1,53%","R$ 149.835,05","R$ 49.114,87","R$ 1,50","R$ 2.687.540,37","","1.787.671","https://afhi11.com.br/","Link","23/03/2022 20:15:00","Link","21/05/2021 09:28:00","Link","15/03/2022 21:52:00","Link","14/02/2022 19:12:00","Link","23/03/2022 20:11:00","-4,47%","N/D","N/D","N/D","N/D","R$180.536.894,29","R$172.462.415,03","R$96,47","R$ 1,30","4,92%","2,01%","-0,09%","8,80%","0,99%","2,84%","0,99%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","R$ 19.206,14","16,59%","3,86%","7,33%","11,19%"
"AFOF11","Alianza FOF","BRL TRUST","ALIANZA GESTÃO","23/03/2021","R$17.703,76","0,93","2.543","","R$100,00","R$1,00","1,06%","10,76%","Fundo de Fundos","N/D","N/D","21,00%","34.847.063/0001-08","N/D","0,00","N/D","0,00%","0,00%","R$ 0,00","0,00m²","R$ 2.233,87","2,71%","2,53%","R$ 0,00","R$ 2,55","R$ 1.761.600,34","R$ 0,00","R$ 1.763.834,21","13.486.793.000.142","94,060%05/04/2022 10:20:00","R$94,06","R$94,06","R$94,06","R$94,06","15/03/2022","15/02/2022 13:01:57","22/03/2022","0,00%","","R$93.514,10","R$75.364,78","R$53.111,28","R$2.057.310,25","R$0,00","R$1.507.295,66","R$1.035,46","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 24.876,72","0,10%","R$ 0,00","R$ 5,59","0,10%","R$ 42.592,26","R$ 0,00","R$ 0,10","R$ 67.474,57","","691.192","http://afof11.alianza.com.br/","Link","01/04/2022 11:44:00","Link","04/06/2021 19:11:00","Link","15/03/2022 14:32:00","Link","15/02/2022 15:40:00","Link","15/03/2022 18:11:00","7,43%","N/D","N/D","N/D","N/D","R$65.013.519,52","R$69.843.469,38","R$101,05","R$ 0,96","-18,91%","9,96%","0,07%","10,67%","-5,94%","4,51%","2,24%","3,70%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","R$ 1.316,84","13,47%","2,97%","5,65%","28,64%"
"AIEC11","Autonomy Edifícios Corporativos","MAF","AI Real Estate","02/09/2020","R$340.985,86","0,80","6.762","R$274,95","R$100,00","R$1,31","1,60%","9,74%","Lajes Comerciais","R$17.168,38","R$21.394,20","-6,85%","35.765.826/0001-26","N/D","0,00","N/D","0,00%","0,00%","R$ 0,00","22.989,00m²","R$ 7.260,02","7,23%","5,80%","R$ 0,00","R$ 5,91","R$ 0,00","R$ 4.257.131,72","R$ 28.522.786,55","36.864.992.000.142","81,80+0,7%05/04/2022 10:47:00","R$81,24","R$81,23","R$81,80","R$81,24","31/03/2022","14/02/2022 13:44:21","08/04/2022","0,37%","4.824.987","R$601.184,37","R$638.028,93","R$1.022.957,59","R$13.226.056,24","R$569.417,90","R$12.760.578,52","R$380.439,07","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 22.642.770,85","6,67%","R$ 0,00","R$ 3.280.991,16","5,08%","R$ 41.960,72","R$ 349.942,32","R$ 5,45","R$ 26.315.665,05","","4.824.987","https://airealestate.com.br/fundos-imobiliarios#aiec11","Link","04/04/2022 18:50:00","Link","18/01/2022 07:33:00","Link","08/03/2022 17:24:00","Link","15/02/2022 14:35:00","Link","04/03/2022 20:03:00","24,61%","N/D","N/D","0,00%","28/02/2022","R$394.683.936,60","R$491.831.341,80","R$101,93","R$ 0,68","-7,52%","11,92%","6,51%","3,54%","-18,20%","11,29%","2,06%","92,65%","10.000,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","R$ 10.362,34","21,00%","3,18%","5,42%","13,88%"
"ALMI11","Torre Almirante","BTG PACTUAL","BTG PACTUAL","01/06/2005","R$5.990,54","0,42","3.114","R$0,00","R$1.000,00","R$0,00","0,00%","","Lajes Comerciais","R$6.278,92","R$15.049,73","227,42%","07.122.725/0001-00","N/D","0,00","N/D","0,00%","0,00%","R$ 0,00","16.644,00m²","R$ 540,55","5,04%","2,10%","R$ 0,00","R$ 47,37","R$ 4.819.275,33","R$ 0,00","R$ 5.266.506,79","59.281.253.000.123","940,00-1,15%04/04/2022 16:48:00","R$940,00","R$950,99","R$940,00","R$911,23","25/02/2022","14/02/2022 13:44:22","25/02/2022","0,00%","","R$30.316,82","R$28.079,20","R$11.981,08","R$666.969,96","R$2.994,00","R$561.583,98","R$4.196,20","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 5.209.785,41","5,08%","R$ 0,00","R$ 0,00","2,08%","R$ 99.652,11","R$ 0,00","R$ 47,76","R$ 5.309.437,52","","111.177","https://www.btgpactual.com/asset-management/administracao-fiduciaria/busca-por-fundos/FII%20TORRE%20ALMIRANTE","Link","31/03/2022 18:52:00","Link","16/03/2022 23:32:00","Link","15/03/2022 19:21:00","Link","11/02/2022 19:16:00","Link","15/02/2022 09:23:00","139,69%","N/D","N/D","64,05%","31/12/2021","R$104.506.380,00","R$250.487.663,18","R$2.253,05","R$ 0,00","-13,04%","-6,93%","6,21%","-3,59%","-6,00%","-14,55%","5,61%","0,00%","84,74%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","15,26%","0,00%","0,00%","R$ 11.030,09","0,00%","","","248,32%"
"ALZR11","Alianza Trust Renda Imobiliária","","ALIANZA GESTÃO","04/01/2018","R$804.634,47","1,06","98.531","R$38,22","R$100,00","R$0,76","0,66%","7,05%","Híbrido","R$5.768,56","R$5.430,27","44,95%","28.737.771/0001-85","04/04/2022","6,00","284","5,45%","5,45%","R$ 32.464,00","118.285,00m²","R$ 179,70","5,29%","5,62%","R$ 0,00","R$ 6,10","R$ 36.109.780,89","R$ 0,00","R$ 36.109.960,59","59.281.253.000.123","115,22+0,21%05/04/2022 10:47:00","R$114,98","R$114,98","R$115,48","R$114,81","18/03/2022","14/02/2022 13:44:23","25/03/2022","0,65%","5.922.011","R$1.217.126,87","R$1.141.304,23","R$2.413.903,40","R$26.776.791,22","R$272.516,22","R$22.826.084,62","R$166.430,83","R$ 0,00","R$ 0,00","R$ 0,00","R$ 165.625.223,26","R$ 96.105.419,14","R$ 3.189.595,96","39,57%","R$ 0,00","R$ 4.521.408,96","29,59%","R$ 539.083,14","R$ 0,00","R$ 45,59","R$ 269.980.730,46","","5.922.011","http://alzr11.alianza.com.br/","Link","23/03/2022 19:46:00","Link","30/12/2021 18:05:00","Link","15/03/2022 23:06:00","Link","10/02/2022 20:37:00","Link","18/03/2022 18:33:00","-5,86%","N/D","N/D","0,00%","28/02/2022","R$682.334.107,42","R$642.319.758,26","R$108,46","R$ 0,73","-11,60%","2,82%","4,87%","-0,55%","15,22%","1,22%","3,50%","5,23%","100,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","R$ 181.576,52","8,25%","1,94%","3,60%","25,80%"
"ANCR11B","Ancar IC","GENIAL INVESTIMENTOS","SCAI","15/08/2007","","1,03","58","R$251,78","R$600,00","R$56,32","1,61%","3,11%","Shopping/Varejo","R$15.648,28","R$15.242,50","641,71%","07.789.135/0001-27","N/D","0,00","N/D","0,00%","0,00%","R$ 0,00","100.899,00m²","R$ 2.282.000,00","1,78%","1,83%","R$ 0,00","R$ 62,25","R$ 25.800.984,96","R$ 0,00","R$ 28.082.984,96","27.652.684.000.162","3.500,00+5,63%17/01/2022 05:05:05","R$3.500,00","R$3.313,00","R$3.500,00","R$3.500,00","31/01/2022","17/01/2022 10:01:05","21/02/2022","0,00%","","","R$343,30","","","R$2.400,00","R$6.866,00","R$2.520,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 13.860.942,03","3,13%","R$ 697.171,25","R$ 34.847.382,02","3,12%","R$ 76.421,92","R$ 0,00","R$ 109,69","R$ 49.481.917,22","","451.113","https://www.genialinvestimentos.com.br/","Link","01/04/2022 11:32:00","Link","06/04/2021 18:52:00","Link","14/03/2022 18:29:00","Link","15/02/2022 18:51:00","N/D","N/D","-2,59%","N/D","N/D","N/D","N/D","R$1.578.895.500,00","R$1.537.952.687,14","R$3.409,24","R$ 52,60","2,94%","0,00%","N/D","3,98%","483,33%","5,63%","0,00%","7,06%","10.000,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","R$ 3.500,00","21,11%","1,61%","3,11%","27,15%"
"APTO11","Navi Residencial","BRL TRUST","NAVI REAL ESTATE SELECTION","N/D","R$3.306,72","1,09","305","","R$10,00","R$0,11","1,04%","3,13%","","N/D","N/D","9,22%","42.432.327/0001-82","N/D","N/D","N/D","N/D","N/D","N/D","0,00m²","R$ 22.350,38","17,13%","18,59%","R$ 0,00","R$ 1,81","R$ 7.256.283,14","R$ 0,00","R$ 7.278.633,52","13.486.793.000.142","10,59-1,94%05/04/2022 10:46:00","R$10,80","R$10,80","R$10,80","R$10,55","31/03/2022","14/02/2022 13:44:24","22/04/2022","0,00%","","R$3.916,02","R$3.542,75","R$9.920,16","R$86.152,52","R$63,36","R$70.854,91","R$1.016,82","R$ 0,00","R$ 0,00","R$ 0,00","R$ 8.744.704,89","R$ 0,00","R$ 21.622,02","21,60%","R$ 0,00","R$ 401.285,70","18,99%","R$ 11.250,00","R$ 0,00","R$ 2,29","R$ 9.178.862,61","","4.012.857","http://","Link","31/03/2022 15:02:00","Link","30/09/2021 09:18:00","Link","15/03/2022 15:21:00","Link","14/02/2022 16:39:00","Link","07/03/2022 18:34:00","-7,84%","N/D","N/D","N/D","N/D","R$42.496.155,63","R$39.162.601,54","R$9,76","R$ 0,10","0,28%","-0,09%","1,34%","0,28%","5,90%","0,00%","3,93%","10,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","R$ 1.951,98","13,20%","2,83%","3,13%","3,13%"
"ARCT11","Riza Arctium Real Estate","BTG PACTUAL","RIZA","09/09/2019","R$3.803.231,40","1,07","11.482","R$29,49","R$100,00","R$1,65","1,54%","14,58%","Logisticos","R$1.913,80","R$1.791,75","57,23%","28.267.696/0001-36","N/D","0,00","N/D","0,00%","0,00%","R$ 0,00","161.000,00m²","R$ 0,00","0,64%","0,69%","R$ 0,00","R$ 0,69","R$ 0,00","R$ 1.982.939,89","R$ 1.982.939,89","59.281.253.000.123","107,04+0,33%05/04/2022 10:47:00","R$106,30","R$106,69","R$107,20","R$106,23","15/03/2022","14/02/2022 13:44:25","22/03/2022","0,36%","3.597.568","R$2.166.521,96","R$2.438.788,46","R$11.409.694,20","R$47.663.483,15","R$1.000,00","R$48.775.769,28","R$1.273,21","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 42.500.000,00","R$ 142.531,40","15,47%","R$ 0,00","R$ 4.748.600,36","14,18%","R$ 272.440,93","R$ 0,00","R$ 16,56","R$ 47.663.572,69","","2.878.568","https://www.rizaasset.com/home","Link","15/03/2022 20:11:00","Link","04/02/2022 21:33:00","Link","15/03/2022 20:11:00","Link","11/02/2022 10:10:00","Link","25/01/2022 18:33:00","-6,38%","N/D","N/D","N/D","N/D","R$308.121.918,72","R$288.471.199,34","R$100,21","R$ 1,50","-2,25%","0,04%","-0,89%","7,25%","7,04%","1,98%","-0,08%","9,98%","100,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","R$ 239.329,45","20,15%","4,53%","8,55%","46,89%"
"ARRI11","Átrio Reit Recebíveis Imobiliários","OLIVEIRA TRUST","ÁTRIO GESTORA","31/10/2019","R$303.830,14","1,06","6.878","","R$100,00","R$1,34","1,37%","15,73%","Recebíveis Imobiliários","N/D","N/D","23,75%","32.006.821/0001-21","N/D","0,00","N/D","0,00%","0,00%","R$ 0,00","0,00m²","R$ 25.750,61","2,37%","2,52%","R$ 0,00","R$ 2,32","R$ 0,00","R$ 2.409.566,43","R$ 2.435.317,04","36.113.876.000.191","97,90+0,41%05/04/2022 10:47:00","R$97,50","R$97,50","R$97,92","R$97,50","31/03/2022","14/02/2022 13:44:26","07/04/2022","0,00%","","R$367.247,62","R$372.621,40","R$911.490,43","R$8.079.447,55","R$174.566,60","R$7.452.427,94","R$60.338,46","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 58.703,69","1,39%","R$ 0,00","R$ 1.362.816,00","1,45%","R$ 0,00","R$ 0,00","R$ 1,36","R$ 1.421.519,69","","1.048.320","http://atrioasset.com.br/fundos-imobiliarios/#1579622108509-27112758-3494","Link","31/03/2022 18:17:00","Link","30/03/2022 21:02:00","Link","15/03/2022 18:21:00","Link","10/02/2022 17:24:00","Link","10/03/2022 14:21:00","-5,86%","N/D","N/D","N/D","N/D","R$102.630.528,00","R$96.611.486,40","R$92,16","R$ 1,30","-1,88%","1,56%","-2,00%","1,02%","-2,10%","-0,08%","-1,44%","3,08%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","R$ 26.645,30","17,72%","4,03%","8,76%","26,41%"
