"CÓDIGO ","NOME ","COTAÇÃO ATUAL ▴","VARIAÇÃO COTADESDE IPO ","VARIAÇÃO COTA + PROVENTOSDESDE IPO ","VARIAÇÃO COTAEM ABRIL ","VARIAÇÃO COTAEM ABRIL + PROVENTOS ","VARIAÇÃO COTAEM MARÇO ","VARIAÇÃO COTAEM MARÇO + PROVENTOS ","VARIAÇÃO COTAEM 1 ANO ","VARIAÇÃO COTA + PROVENTOSEM 1 ANO ","VARIAÇÃO COTAEM 2022 ","VARIAÇÃO COTA + PROVENTOSEM 2022 ","VARIAÇÃO COTAEM 2021 ","VARIAÇÃO COTA + PROVENTOSEM 2021 ","VARIAÇÃO COTANOS ÚLTIMOS 5 ANOS ","VARIAÇÃO COTA + PROVENTOSNOS ÚLTIMOS 5 ANOS ","VARIAÇÃO COTANOS ÚLTIMOS 10 ANOS ","VARIAÇÃO COTA + PROVENTOSNOS ÚLTIMOS 10 ANOS ","P/VPA ","UPSIDE/DOWNSIDE PARAATINGIR VALOR PATRIMONIAL ","LIQUIDEZ ÚLTIMOS20 DIAS NEGOCIAÇÃO ","UPSIDE RENDA BASEADO NA VACÂNCIA FINANCEIRA ","VACÂNCIA FINANCEIRA ","VACÂNCIA FÍSICA ","VALOR PATRIMONIAL ","VALOR PATRIMONIAL POR M2 ","VALOR DE MERCADO ","VALOR MERCADO POR M2 ","YIELD1 MES ","YIELD3 MESES ","YIELD6 MESES ","YIELD12 MESES ","QTDECOTISTAS ","PARTICIPAÇÃONO IFIX ","SCORE MÉDIO ","FEED "
"ERCR11","Estoque Residencial e Comercial Rio de Janeiro","72.991,40+76000%17/01/2022 05:05:34","+72.891,40%","N/D","-3,96%","-3,96%","+0,00%","+0,00%","-18,90%","-18,90%","N/D","N/D","+75900,00%","+75900,00%","+72891,40%","+72891,40%","+72891,40%","+72891,40%","1,02","-2,25%","R$1.507.217,20","N/D","N/D","N/D","R$169.526.970,92","N/D","R$173.427.566,40","N/D","0,00%","N/D","N/D","N/D","10","0,00%","  ",""
"RBRM11","RBR Desenvolvimento","16.565,01+38810,458%17/01/2022 05:05:47","N/D","N/D","-57,32%","-57,32%","+0,00%","+0,00%","-84,98%","+3,02%","N/D","N/D","-73,30%","-3,06%","N/D","N/D","N/D","N/D","0,12","+735,23%","N/D","N/D","N/D","N/D","R$74.573.776,90","N/D","R$8.928.540,39","N/D","0,00%","154,20%","291,85%","585,77%","54","0,00%","  ",""
"FTCE11B","Opportunity","2.497,21+2497,214%17/01/2022 05:05:05","+149,72%","+378,09%","+0,00%","+0,00%","+0,00%","+0,00%","-3,62%","+2,71%","N/D","N/D","-15,35%","-9,54%","-14,21%","+18,98%","-16,76%","+59,36%","0,90","+10,88%","N/D","N/D","N/D","N/D","R$2.591.380.519,60","R$24.218,51","R$2.337.083.900,38","R$21.841,91","2,81%","2,81%","2,81%","6,57%","57","0,00%","  ",""
"GESE11B","General Severiano","1.372,12+1387,811%17/01/2022 05:05:05","+37,21%","+121,08%","-1,13%","-0,15%","+0,00%","+1,34%","-6,31%","+3,62%","N/D","N/D","-8,46%","-0,15%","+37,21%","+121,08%","+37,21%","+121,08%","0,83","+20,29%","N/D","N/D","N/D","0,00%(Ref. 25/02/2022)","R$85.824.028,11","R$7.911,51","R$71.350.240,00","R$6.577,27","0,99%","3,23%","4,98%","9,97%","55","0,00%","  ",""
"SOLR11","Solarium","1.141,02+1148,978%17/01/2022 05:05:39","+14,10%","+31,78%","-0,69%","-0,07%","+0,00%","+0,62%","+12,38%","+22,27%","N/D","N/D","+14,90%","+29,63%","+14,10%","+31,78%","+14,10%","+31,78%","1,13","-11,62%","R$57,85","N/D","N/D","N/D","R$63.415.487,28","N/D","R$71.750.760,66","N/D","0,63%","1,88%","3,97%","8,80%","52","0,00%","  ",""
"SHDP11B","Shopping Parque Dom Pedro","1.094,00+1105,149%17/01/2022 05:05:05","+46,35%","+112,28%","-1,01%","-1,01%","+0,00%","+0,56%","-3,83%","+1,21%","N/D","N/D","-4,52%","+0,28%","+46,35%","+88,34%","+46,35%","+112,28%","0,80","+25,59%","N/D","N/D","N/D","2,60%(Ref. 31/03/2019)","R$1.987.620.669,71","R$20.962,94","R$1.582.675.578,00","R$16.692,08","0,57%","1,63%","3,43%","5,24%","3","0,00%","  ",""
"HUSI11","HUSI","1.045,46+1045,469%17/01/2022 05:05:31","+4,55%","+4,55%","+0,00%","+0,00%","+0,00%","+0,00%","+0,53%","+0,53%","N/D","N/D","+2,00%","+2,00%","+4,55%","+4,55%","+4,55%","+4,55%","1,08","-7,34%","R$313,75","N/D","N/D","N/D","R$111.754.142,04","R$5.587,71","R$120.606.356,52","R$6.030,32","0,00%","N/D","N/D","N/D","79","0,00%","  ",""
"RBTS11","RB Capital TFO Situs","940,30+963,662%17/01/2022 09:45:00","-5,97%","-5,97%","-2,42%","-2,42%","+0,00%","+0,00%","-5,97%","-5,97%","N/D","N/D","-3,63%","-3,63%","-5,97%","-5,97%","-5,97%","-5,97%","0,84","+19,45%","N/D","N/D","N/D","N/D","R$63.490.732,70","N/D","R$53.150.457,50","N/D","0,00%","N/D","N/D","N/D","56","0,00%","  ",""
"CFHI11","CF2 FII","963,48+963,488%17/01/2022 05:05:28","-3,65%","0,00%","+0,00%","+0,00%","+0,00%","+0,00%","-3,65%","+-0,00%","N/D","N/D","-3,65%","+-0,00%","-3,65%","+-0,00%","-3,65%","+-0,00%","0,96","+4,58%","N/D","N/D","N/D","N/D","R$76.257.344,04","R$25.195,55","R$72.916.166,40","R$24.091,62","0,00%","N/D","N/D","3,79%","53","0,00%","  ",""
"DOVL11B","Dovel","921,81+922,081%17/01/2022 05:05:05","-7,82%","+78,13%","-0,03%","-0,03%","+0,00%","+0,00%","-1,02%","+-0,00%","N/D","N/D","-11,54%","-10,66%","-39,75%","-28,91%","-13,21%","+58,84%","0,76","+31,43%","N/D","N/D","N/D","64,29%(Ref. 30/09/2020)","R$75.449.661,15","R$4.566,62","R$57.408.483,18","R$3.474,67","0,00%","0,03%","0,91%","1,03%","51","0,00%","  ",""
"PBLV11","Prologis Brazil Logistics Venture","900,59+900,598%17/01/2022 05:05:33","-9,94%","N/D","+0,00%","+0,00%","+0,00%","+0,00%","-2,85%","-2,85%","N/D","N/D","-5,71%","-5,71%","-9,94%","-9,94%","-9,94%","-9,94%","N/D","N/D","N/D","N/D","N/D","N/D","N/D","N/D","R$2.095.114.564,20","N/D","0,00%","N/D","N/D","N/D","0","0,00%","  ",""
"ELDO11B","Eldorado","683,36+700,755%17/01/2022 05:05:05","-31,66%","+20,49%","-2,48%","-2,17%","+0,00%","+0,92%","-7,81%","+2,27%","N/D","N/D","-7,70%","+0,35%","-29,44%","+4,87%","-31,66%","+20,49%","0,51","+96,59%","N/D","N/D","N/D","N/D","R$1.057.607.365,94","R$14.081,34","R$537.979.260,16","R$7.162,84","0,09%","3,45%","6,62%","10,94%","61","0,00%","  ",""
"VERE11","Vereda","214,96+219,225%17/01/2022 05:05:39","+114,96%","+274,85%","-1,94%","-0,98%","+0,00%","+0,96%","-9,52%","+3,52%","N/D","N/D","-11,14%","-0,69%","+114,96%","+212,94%","+114,96%","+274,85%","0,65","+54,1%","N/D","N/D","N/D","N/D","R$182.222.138,13","R$2.375,03","R$118.246.056,64","R$1.541,19","0,98%","2,94%","6,96%","13,46%","53","0,00%","  ",""
